longitude,latitude,housing_median_age,total_rooms,population,households,median_income,rooms_by_household,bedrooms_per_rooms,population_per_household,ocean_1,ocean_2,ocean_3,ocean_4,ocean_5,median_house_value
-1.2490009027033011e-15,0.8720850829373434,-0.8213683371323663,1.060025251790532,0.7626578127699027,1.8105009452477223,0.07875723529797539,-1.5454516603941948,1.5860587248074385,-2.5117161186741144,1.0,0.0,0.0,0.0,0.0,240000.0
-1.2212453270876722e-15,0.8610268109811587,-0.652534950121686,1.4495613561275633,1.4132730570651595,1.5059982328238013,0.6377545716957717,0.03308571593200744,-0.14552276629528185,-0.09784546627478836,1.0,0.0,0.0,0.0,0.0,250000.0
1.7208456881689926e-15,-1.372384871049089,0.6064124091680587,-1.0143258310559096,-1.5727202517276153,-1.5116729590185876,-0.3268258719731139,1.5235960129039863,0.446923804307386,-0.22617861961706298,0.0,1.0,0.0,0.0,0.0,134400.0
-1.27675647831893e-15,0.8903959626420376,-0.2435254632903907,0.579702704665293,0.3672296782304596,0.5475902308747504,0.8336750935333666,0.15290630746723094,-0.3054069215578656,-0.40192390298197567,1.0,0.0,0.0,0.0,0.0,287600.0
-1.942890293094024e-16,0.6604602748146148,1.4071458238900956,-0.6716880077358571,-0.045275019275603456,-0.35606307646406476,-1.90771192001226,-0.9611947168473476,1.693039227059401,0.8890691719044059,0.0,1.0,0.0,0.0,0.0,49600.0
1.3600232051658168e-15,-1.6462772279346471,1.1206490616525202,0.12994887563913085,-0.2997050334981185,0.5076597341481238,-0.9322449914231281,-0.9321212425812712,0.9292883000764963,-2.342671209619019,0.0,0.0,0.0,0.0,1.0,263600.0
-1.304512053934559e-15,0.9085584403066538,-0.652534950121686,1.0360367447548247,1.0828820084332198,1.756575421407606,0.4352336252979667,-1.487112954828404,1.4761390006703656,-1.4897438262179428,0.0,0.0,0.0,1.0,0.0,270800.0
8.604228440844963e-16,-0.9553215889499826,-1.8316908307712068,1.506191488652407,1.1552699541461495,1.5807207262766303,1.1168833203229598,0.0014024558761936816,0.08266648061116676,-0.8873596595835329,1.0,0.0,0.0,0.0,0.0,264700.0
8.604228440844963e-16,-0.9621478545997548,-0.9937515507200391,-0.052766110595972304,-0.29829033345145267,-0.030667016981610205,0.9906725352699558,-0.033761570571842994,0.23627641280410977,-0.7408722897724097,1.0,0.0,0.0,0.0,0.0,224100.0
-1.4710455076283324e-15,1.0554528799568448,1.7587412840179617,-0.05343352667613893,-0.36016079758705605,0.26859929698129037,0.398782680831902,-0.8303324385208543,1.1651259419984885,-1.835665915458,0.0,0.0,0.0,1.0,0.0,412500.0
1.27675647831893e-15,-0.6353769831989364,0.6809771561378114,-0.3310056220905816,-0.639080966760239,-0.5881676191075718,0.13179874505401024,0.7164096094035022,-1.019363664315303,-0.12851777507959744,0.0,1.0,0.0,0.0,0.0,116600.0
9.43689570931383e-16,-0.8610309184697104,-0.7365351334788437,0.5464382060551541,0.23888614537094063,-0.12803397573273784,2.0455456466417217,1.6634078084254498,-2.328498081603441,1.001571850931815,1.0,0.0,0.0,0.0,0.0,431800.0
-1.4155343563970746e-15,1.06556947213027,1.6889654023993366,-1.0824738806032534,-1.0855865231507689,-0.711763605419217,-2.026389432826864,-1.247074651986239,1.8420397872407717,-1.265704093168442,0.0,0.0,0.0,1.0,0.0,150000.0
